date,code,address,neighbourhood,municipality,collection-point,taste,odor
2020-02-13,Túnel Canal,Avenida Edson Passos,Alto da Boa Vista,Rio de Janeiro,Macro Distribuição,2,2
2020-02-13,RJ 09-A5,Avenida das Américas,Barra da Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-13,RJ 12-A7,Rua Arquias Cordeiro,Méier,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-13,RJ 15-A9,Avenida Maracanã,Maracanã,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-13,RJ 03-A25,Avenida Delfim Moreira,Leblon,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 10-A16,Rua Bucareste,Vigário Geral,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,Túnel Canal,Avenida Edson Passos,Alto da Boa Vista,Rio de Janeiro,Macro Distribuição,2,1
2020-02-14,RJ 17-A1,Rua Estácio de Sá,Estácio,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 17-A4,Rua Amoroso Lima,Cidade Nova,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 17-A5,Rua do Santana,Centro,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 17-A17,Rua Carmo Neto,Santo Cristo,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 17-A20,Rua Guaicurus,Rio Comprido,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 15-A21,Boulevard Vinte e Oito de Setembro,Vila Isabel,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 15-A30,Rua Itabaiana,Grajaú,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 03-P9,Rua Pacheco Leão,Jardim Botânico,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 15-A31,Avenida Júlio Furtado,Grajaú,Rio de Janeiro,Rede de Distribuição,1,1
2020-02-14,RJ 15-A39,Rua Barão de Mesquita,Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 15-A19,Travessa Doutor Araujo,Praça da Bandeira,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 08-P1,Rua Eng Alvaro Niemeyer,São Conrado,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 03-P18,Rua Vice-Governador Rúbens Berardo,Gávea,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 16-P1,Rua Batista Da Costa,Lagoa,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 16-P6,Rua Alberto De Campos,Ipanema,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 16-R26,Rua Gustavo Sampaio,Leme,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ 16-P27,Avenida Atlântica,Copacabana,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-14,RJ 16-P31,Rua Manuel Niobei,Urca,Rio de Janeiro,Rede de Distribuição,1,1
2020-02-14,RJ 16-P34,Av. Reporter Nestor Moreira,Botafogo,Rio de Janeiro,Rede de Distribuição,1,1
2020-02-14,RJ 18-P4,Rua Andrade Pertence,Catete,Rio de Janeiro,Rede de Distribuição,1,1
2020-02-14,RJ 18-P8,Rua Do Russel,Glória,Rio de Janeiro,Rede de Distribuição,1,1
2020-02-14,RJ 14-A1,Estrada da Matriz,Pedra de Guaratiba,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,INT 06-A20,Rua Serinhaem,Barros Filho,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,INT 06-A14,Rua Moçambique,Rocha Miranda,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,INT 06-A1,Rua Guaiuba,Acari,Rio de Janeiro,Rede de Distribuição,1,1
2020-02-14,INT 06-A29,Rua João Vicente,Deodoro,Rio de Janeiro,Rede de Distribuição,1,1
2020-02-14,INT 06-A25,Rua Salema,Ricardo de Albuquerque,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-14,INT 06-A3,Rua Ouseley,Coelho Neto,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,INT 06-A24,Estrada Marechal Alencastro,Anchieta,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-14,INT 06-A22,Estrada João Paulo,Honório Gurgel,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,INT 09-A3,Rua Amisterdam,Bangu,Rio de Janeiro,Rede de Distribuição,1,2
2020-02-14,SA 1052/20A,Praça Rosária Trotta,Campo Grande,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ-17 P14,Avn N S De Fatima,Bairro de Fátima,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-14,RJ-17 P15,Rua Lapa,Lapa,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-15,BX-05 P04,Rua Eugênio de Menezes,Venda Velha - São João de Meriti,São João de Meriti,Rede de Distribuição,2,2
2020-02-15,BX-05 P18,Avenida Getulio de Moura,Centro - São João de Meriti,São João de Meriti,Rede de Distribuição,2,2
2020-02-16,BX-01 P05,Avenida Coelho da Rocha,Centro - Belford Roxo,Belford Roxo,Rede de Distribuição,2,1
2020-02-16,BX-01 P13,Rua Retiro da Imprensa,Vila Heliopolis - Belford Roxo,Belford Roxo,Rede de Distribuição,2,1
2020-02-17,INT-05 P14,Avenida Oliveira Belo,Vila da Penha,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,INT-05 P17,Avenida Meriti,Vila Kosmos,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,INT-05 P21,Rua Honorio de Almeida,Irajá,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,INT-05 P25,Estrada Colégio,Colégio,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,INT-05 P29,Avenida Monsenhor Felix,Vaz Lobo,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-04 P06,Rua Carolina Santos,Lins de Vasconcelos,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-04 P03,Rua Marques de Leão,Engenho Novo,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-04 P19,Rua Pernambuco,Engenho de Dentro,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-04 P22,Rua Paraná,Piedade,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-04 P29,Rua Nerval de Gouvea,Quintino Bocaiuva,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-06 P03,Estrada Covanca,Tanque,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-06 P04,Rua Professor Henrique Costa,Pechincha,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-06 P11,Rua Padre Ventura,Taquara,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-06 P14,Rua André Rocha,Jacarepaguá,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-07 P01,Estrada Lameirão,Santissimo,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-17,RJ-07 P02,Estrada Viegas,Senador Camara,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,MQ-SP Disp,Rua Marquês de Sapucaí - Dispersão,Cidade Nova,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-18,MQ-SP Conc,Rua Marquês de Sapucaí - Concentração,Cidade Nova,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-18,RJ-09 P04,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-09 P13,Rua Mario Faustino,Recreio dos Bandeirantes,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-18,RJ-09 P15,Rua Haroldo Cavalcanti,Recreio dos Bandeirantes,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-09 P19,Rua Murilo Araujo,Recreio dos Bandeirantes,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-09 P18,Rua Professor Motta Maia,Recreio dos Bandeirantes,Rio de Janeiro,Rede de Distribuição,2,2
